city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source
Tulsa,OK,415154,2024,2025-12-22,Wikipedia – List of United States cities by population,212005.62065976637,2025-11-30,Zillow ZHVI (City)
Tampa,FL,414547,2024,2025-12-22,Wikipedia – List of United States cities by population,368150.8692553383,2025-11-30,Zillow ZHVI (City)
Arlington,TX,403672,2024,2025-12-22,Wikipedia – List of United States cities by population,304587.3960235994,2025-11-30,Zillow ZHVI (City)
Aurora,CO,403130,2024,2025-12-22,Wikipedia – List of United States cities by population,455348.0876991847,2025-11-30,Zillow ZHVI (City)
Wichita,KS,400991,2024,2025-12-22,Wikipedia – List of United States cities by population,196196.5531300858,2025-11-30,Zillow ZHVI (City)
Cleveland,OH,365379,2024,2025-12-22,Wikipedia – List of United States cities by population,111917.08389550356,2025-11-30,Zillow ZHVI (City)
New Orleans,LA,362701,2024,2025-12-22,Wikipedia – List of United States cities by population,236988.7197457504,2025-11-30,Zillow ZHVI (City)
Henderson,NV,350039,2024,2025-12-22,Wikipedia – List of United States cities by population,482052.30157563934,2025-11-30,Zillow ZHVI (City)
Honolulu,HI,344967,2024,2025-12-22,Wikipedia – List of United States cities by population,751135.3067680771,2025-11-30,Zillow ZHVI (City)
Anaheim,CA,344561,2024,2025-12-22,Wikipedia – List of United States cities by population,911328.3072651228,2025-11-30,Zillow ZHVI (City)
Orlando,FL,334854,2024,2025-12-22,Wikipedia – List of United States cities by population,368927.8697513456,2025-11-30,Zillow ZHVI (City)
Lexington,KY,329437,2024,2025-12-22,Wikipedia – List of United States cities by population,319944.7876421675,2025-11-30,Zillow ZHVI (City)
Stockton,CA,324975,2024,2025-12-22,Wikipedia – List of United States cities by population,424247.79810192325,2025-11-30,Zillow ZHVI (City)
Riverside,CA,323757,2024,2025-12-22,Wikipedia – List of United States cities by population,633682.1586525665,2025-11-30,Zillow ZHVI (City)
Irvine,CA,318683,2024,2025-12-22,Wikipedia – List of United States cities by population,1500918.9936056498,2025-11-30,Zillow ZHVI (City)
Corpus Christi,TX,317317,2024,2025-12-22,Wikipedia – List of United States cities by population,216909.9361064318,2025-11-30,Zillow ZHVI (City)
Newark,NJ,317303,2024,2025-12-22,Wikipedia – List of United States cities by population,476165.9203583311,2025-11-30,Zillow ZHVI (City)
Santa Ana,CA,316184,2024,2025-12-22,Wikipedia – List of United States cities by population,831799.9599805473,2025-11-30,Zillow ZHVI (City)
Cincinnati,OH,314915,2024,2025-12-22,Wikipedia – List of United States cities by population,242545.4570622725,2025-11-30,Zillow ZHVI (City)
Pittsburgh,PA,307668,2024,2025-12-22,Wikipedia – List of United States cities by population,231507.55378843012,2025-11-30,Zillow ZHVI (City)
Saint Paul,MN,307465,2024,2025-12-22,Wikipedia – List of United States cities by population,285722.8550167536,2025-11-30,Zillow ZHVI (City)
Greensboro,NC,307381,2024,2025-12-22,Wikipedia – List of United States cities by population,258029.89313737987,2025-11-30,Zillow ZHVI (City)
Jersey City,NJ,302824,2024,2025-12-22,Wikipedia – List of United States cities by population,635531.8076346092,2025-11-30,Zillow ZHVI (City)
Durham,NC,301870,2024,2025-12-22,Wikipedia – List of United States cities by population,393994.7471607648,2025-11-30,Zillow ZHVI (City)
Lincoln,NE,300619,2024,2025-12-22,Wikipedia – List of United States cities by population,280821.4237619154,2025-11-30,Zillow ZHVI (City)
North Las Vegas,NV,294034,2024,2025-12-22,Wikipedia – List of United States cities by population,402975.7238790667,2025-11-30,Zillow ZHVI (City)
Plano,TX,293286,2024,2025-12-22,Wikipedia – List of United States cities by population,496709.4719038094,2025-11-30,Zillow ZHVI (City)
Anchorage,AK,289600,2024,2025-12-22,Wikipedia – List of United States cities by population,398821.7722309075,2025-11-30,Zillow ZHVI (City)
Gilbert,AZ,288790,2024,2025-12-22,Wikipedia – List of United States cities by population,564271.0614563528,2025-11-30,Zillow ZHVI (City)
Madison,WI,285300,2024,2025-12-22,Wikipedia – List of United States cities by population,413036.9745535515,2025-11-30,Zillow ZHVI (City)
Reno,NV,281714,2024,2025-12-22,Wikipedia – List of United States cities by population,555068.542311655,2025-11-30,Zillow ZHVI (City)
Chandler,AZ,281231,2024,2025-12-22,Wikipedia – List of United States cities by population,516664.54438075935,2025-11-30,Zillow ZHVI (City)
St. Louis,MO,279695,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Chula Vista,CA,278546,2024,2025-12-22,Wikipedia – List of United States cities by population,820832.846050361,2025-11-30,Zillow ZHVI (City)
Buffalo,NY,276617,2024,2025-12-22,Wikipedia – List of United States cities by population,235752.1321840668,2025-11-30,Zillow ZHVI (City)
Fort Wayne,IN,273203,2024,2025-12-22,Wikipedia – List of United States cities by population,235457.7890098669,2025-11-30,Zillow ZHVI (City)
Lubbock,TX,272086,2024,2025-12-22,Wikipedia – List of United States cities by population,205774.71862934937,2025-11-30,Zillow ZHVI (City)
St. Petersburg,FL,267102,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Toledo,OH,265638,2024,2025-12-22,Wikipedia – List of United States cities by population,126351.92153964924,2025-11-30,Zillow ZHVI (City)
Laredo,TX,261260,2024,2025-12-22,Wikipedia – List of United States cities by population,215908.74173258303,2025-11-30,Zillow ZHVI (City)
Port St. Lucie,FL,258575,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Glendale,AZ,258143,2024,2025-12-22,Wikipedia – List of United States cities by population,399938.4337790576,2025-11-30,Zillow ZHVI (City)
Irving,TX,258060,2024,2025-12-22,Wikipedia – List of United States cities by population,332720.22814378794,2025-11-30,Zillow ZHVI (City)
Winston-Salem,NC,255769,2024,2025-12-22,Wikipedia – List of United States cities by population,257120.10621138624,2025-11-30,Zillow ZHVI (City)
Chesapeake,VA,254997,2024,2025-12-22,Wikipedia – List of United States cities by population,408903.28878225846,2025-11-30,Zillow ZHVI (City)
Garland,TX,250431,2024,2025-12-22,Wikipedia – List of United States cities by population,282705.4125178833,2025-11-30,Zillow ZHVI (City)
Scottsdale,AZ,246170,2024,2025-12-22,Wikipedia – List of United States cities by population,825086.6983233187,2025-11-30,Zillow ZHVI (City)
Boise,ID,237963,2024,2025-12-22,Wikipedia – List of United States cities by population,485649.2545495824,2025-11-30,Zillow ZHVI (City)
Hialeah,FL,235388,2024,2025-12-22,Wikipedia – List of United States cities by population,439794.8492938579,2025-11-30,Zillow ZHVI (City)
Frisco,TX,235208,2024,2025-12-22,Wikipedia – List of United States cities by population,652214.122694385,2025-11-30,Zillow ZHVI (City)
Richmond,VA,233655,2024,2025-12-22,Wikipedia – List of United States cities by population,358355.6169266387,2025-11-30,Zillow ZHVI (City)
Cape Coral,FL,233025,2024,2025-12-22,Wikipedia – List of United States cities by population,336623.8649190164,2025-11-30,Zillow ZHVI (City)
Norfolk,VA,231105,2024,2025-12-22,Wikipedia – List of United States cities by population,301547.5643466229,2025-11-30,Zillow ZHVI (City)
Spokane,WA,230609,2024,2025-12-22,Wikipedia – List of United States cities by population,386448.09198633983,2025-11-30,Zillow ZHVI (City)
Huntsville,AL,230402,2024,2025-12-22,Wikipedia – List of United States cities by population,278544.4297635359,2025-11-30,Zillow ZHVI (City)
Santa Clarita,CA,229159,2024,2025-12-22,Wikipedia – List of United States cities by population,782375.5279601505,2025-11-30,Zillow ZHVI (City)
Tacoma,WA,228202,2024,2025-12-22,Wikipedia – List of United States cities by population,479736.67315834085,2025-11-30,Zillow ZHVI (City)
Fremont,CA,228192,2024,2025-12-22,Wikipedia – List of United States cities by population,1468744.1759652102,2025-11-30,Zillow ZHVI (City)
McKinney,TX,227526,2024,2025-12-22,Wikipedia – List of United States cities by population,482035.4067761448,2025-11-30,Zillow ZHVI (City)
San Bernardino,CA,224775,2024,2025-12-22,Wikipedia – List of United States cities by population,479175.0000832566,2025-11-30,Zillow ZHVI (City)
Baton Rouge,LA,220907,2024,2025-12-22,Wikipedia – List of United States cities by population,224744.3453310651,2025-11-30,Zillow ZHVI (City)
Modesto,CA,220592,2024,2025-12-22,Wikipedia – List of United States cities by population,437250.48920486605,2025-11-30,Zillow ZHVI (City)
Fontana,CA,218455,2024,2025-12-22,Wikipedia – List of United States cities by population,627332.7620624946,2025-11-30,Zillow ZHVI (City)
Salt Lake City,UT,217783,2024,2025-12-22,Wikipedia – List of United States cities by population,556494.490724261,2025-11-30,Zillow ZHVI (City)
Moreno Valley,CA,213919,2024,2025-12-22,Wikipedia – List of United States cities by population,541062.866956138,2025-11-30,Zillow ZHVI (City)
Des Moines,IA,213096,2024,2025-12-22,Wikipedia – List of United States cities by population,204290.7548316029,2025-11-30,Zillow ZHVI (City)
Worcester,MA,211286,2024,2025-12-22,Wikipedia – List of United States cities by population,423265.4795683378,2025-11-30,Zillow ZHVI (City)
Yonkers,NY,211040,2024,2025-12-22,Wikipedia – List of United States cities by population,662489.5955971098,2025-11-30,Zillow ZHVI (City)
Fayetteville,NC,209496,2024,2025-12-22,Wikipedia – List of United States cities by population,221353.3044606544,2025-11-30,Zillow ZHVI (City)
Sioux Falls,SD,209289,2024,2025-12-22,Wikipedia – List of United States cities by population,323782.77691560367,2025-11-30,Zillow ZHVI (City)
Grand Prairie,TX,207331,2024,2025-12-22,Wikipedia – List of United States cities by population,310584.0246644248,2025-11-30,Zillow ZHVI (City)
Rochester,NY,207282,2024,2025-12-22,Wikipedia – List of United States cities by population,227136.4071449405,2025-11-30,Zillow ZHVI (City)
Tallahassee,FL,205089,2024,2025-12-22,Wikipedia – List of United States cities by population,284790.9449179383,2025-11-30,Zillow ZHVI (City)
Little Rock,AR,204774,2024,2025-12-22,Wikipedia – List of United States cities by population,212683.8287402516,2025-11-30,Zillow ZHVI (City)
Amarillo,TX,203729,2024,2025-12-22,Wikipedia – List of United States cities by population,200799.20121383935,2025-11-30,Zillow ZHVI (City)
Overland Park,KS,202893,2024,2025-12-22,Wikipedia – List of United States cities by population,457175.755620698,2025-11-30,Zillow ZHVI (City)
Columbus,GA,201830,2024,2025-12-22,Wikipedia – List of United States cities by population,168271.72537087358,2025-11-30,Zillow ZHVI (City)
Augusta,GA,201737,2024,2025-12-22,Wikipedia – List of United States cities by population,172036.1581759411,2025-11-30,Zillow ZHVI (City)
Mobile,AL,201367,2024,2025-12-22,Wikipedia – List of United States cities by population,192864.162771802,2025-11-30,Zillow ZHVI (City)
Oxnard,CA,200616,2024,2025-12-22,Wikipedia – List of United States cities by population,746839.15338626,2025-11-30,Zillow ZHVI (City)
Grand Rapids,MI,200117,2024,2025-12-22,Wikipedia – List of United States cities by population,290348.4765002025,2025-11-30,Zillow ZHVI (City)
Peoria,AZ,199924,2024,2025-12-22,Wikipedia – List of United States cities by population,478682.2800148788,2025-11-30,Zillow ZHVI (City)
Vancouver,WA,198992,2024,2025-12-22,Wikipedia – List of United States cities by population,496068.8493935943,2025-11-30,Zillow ZHVI (City)
Knoxville,TN,198722,2024,2025-12-22,Wikipedia – List of United States cities by population,363101.45471768704,2025-11-30,Zillow ZHVI (City)
Birmingham,AL,196357,2024,2025-12-22,Wikipedia – List of United States cities by population,132724.73140922678,2025-11-30,Zillow ZHVI (City)
Montgomery,AL,195818,2024,2025-12-22,Wikipedia – List of United States cities by population,146126.81434866402,2025-11-30,Zillow ZHVI (City)
Providence,RI,194706,2024,2025-12-22,Wikipedia – List of United States cities by population,415144.87091061816,2025-11-30,Zillow ZHVI (City)
Huntington Beach,CA,193151,2024,2025-12-22,Wikipedia – List of United States cities by population,1289642.6302375442,2025-11-30,Zillow ZHVI (City)
Brownsville,TX,191967,2024,2025-12-22,Wikipedia – List of United States cities by population,191767.6735656151,2025-11-30,Zillow ZHVI (City)
Chattanooga,TN,191496,2024,2025-12-22,Wikipedia – List of United States cities by population,314828.9244546408,2025-11-30,Zillow ZHVI (City)
Fort Lauderdale,FL,190641,2024,2025-12-22,Wikipedia – List of United States cities by population,502570.9274745235,2025-11-30,Zillow ZHVI (City)
Tempe,AZ,190114,2024,2025-12-22,Wikipedia – List of United States cities by population,459718.9072839842,2025-11-30,Zillow ZHVI (City)
Akron,OH,189664,2024,2025-12-22,Wikipedia – List of United States cities by population,135023.05134920368,2025-11-30,Zillow ZHVI (City)
Glendale,CA,187823,2024,2025-12-22,Wikipedia – List of United States cities by population,1149220.679084937,2025-11-30,Zillow ZHVI (City)
Clarksville,TN,185690,2024,2025-12-22,Wikipedia – List of United States cities by population,318119.1632962919,2025-11-30,Zillow ZHVI (City)
Ontario,CA,185285,2024,2025-12-22,Wikipedia – List of United States cities by population,660845.8779063217,2025-11-30,Zillow ZHVI (City)
Newport News,VA,183056,2024,2025-12-22,Wikipedia – List of United States cities by population,284432.47934050264,2025-11-30,Zillow ZHVI (City)
Elk Grove,CA,182797,2024,2025-12-22,Wikipedia – List of United States cities by population,625896.6036258512,2025-11-30,Zillow ZHVI (City)
Cary,NC,182659,2024,2025-12-22,Wikipedia – List of United States cities by population,614102.1636504639,2025-11-30,Zillow ZHVI (City)
Aurora,IL,180710,2024,2025-12-22,Wikipedia – List of United States cities by population,308771.7423260135,2025-11-30,Zillow ZHVI (City)
Salem,OR,180406,2024,2025-12-22,Wikipedia – List of United States cities by population,429992.2243478492,2025-11-30,Zillow ZHVI (City)
Pembroke Pines,FL,179326,2024,2025-12-22,Wikipedia – List of United States cities by population,486228.3299122757,2025-11-30,Zillow ZHVI (City)
Eugene,OR,178786,2024,2025-12-22,Wikipedia – List of United States cities by population,465081.6327202159,2025-11-30,Zillow ZHVI (City)
Santa Rosa,CA,177524,2024,2025-12-22,Wikipedia – List of United States cities by population,698003.4600757482,2025-11-30,Zillow ZHVI (City)
Rancho Cucamonga,CA,176675,2024,2025-12-22,Wikipedia – List of United States cities by population,774373.311062869,2025-11-30,Zillow ZHVI (City)
Shreveport,LA,176578,2024,2025-12-22,Wikipedia – List of United States cities by population,132659.1170663321,2025-11-30,Zillow ZHVI (City)
Garden Grove,CA,172361,2024,2025-12-22,Wikipedia – List of United States cities by population,965708.1293093336,2025-11-30,Zillow ZHVI (City)
Oceanside,CA,170941,2024,2025-12-22,Wikipedia – List of United States cities by population,845989.6024642321,2025-11-30,Zillow ZHVI (City)
Fort Collins,CO,170924,2024,2025-12-22,Wikipedia – List of United States cities by population,548816.4178245907,2025-11-30,Zillow ZHVI (City)
Springfield,MO,170596,2024,2025-12-22,Wikipedia – List of United States cities by population,236806.96624148564,2025-11-30,Zillow ZHVI (City)
Murfreesboro,TN,168387,2024,2025-12-22,Wikipedia – List of United States cities by population,422082.800211377,2025-11-30,Zillow ZHVI (City)
Surprise,AZ,167564,2024,2025-12-22,Wikipedia – List of United States cities by population,417437.92112258606,2025-11-30,Zillow ZHVI (City)
Lancaster,CA,167426,2024,2025-12-22,Wikipedia – List of United States cities by population,461365.30983460107,2025-11-30,Zillow ZHVI (City)
Denton,TX,165998,2024,2025-12-22,Wikipedia – List of United States cities by population,348818.03311441647,2025-11-30,Zillow ZHVI (City)
Roseville,CA,163304,2024,2025-12-22,Wikipedia – List of United States cities by population,632460.8884308825,2025-11-30,Zillow ZHVI (City)
Palmdale,CA,162536,2024,2025-12-22,Wikipedia – List of United States cities by population,495694.6091753752,2025-11-30,Zillow ZHVI (City)
Corona,CA,161540,2024,2025-12-22,Wikipedia – List of United States cities by population,745894.2800834965,2025-11-30,Zillow ZHVI (City)
Salinas,CA,160783,2024,2025-12-22,Wikipedia – List of United States cities by population,729251.557884898,2025-11-30,Zillow ZHVI (City)
Killeen,TX,160616,2024,2025-12-22,Wikipedia – List of United States cities by population,217692.63693643335,2025-11-30,Zillow ZHVI (City)
Paterson,NJ,160463,2024,2025-12-22,Wikipedia – List of United States cities by population,518377.0890482144,2025-11-30,Zillow ZHVI (City)
Alexandria,VA,159102,2024,2025-12-22,Wikipedia – List of United States cities by population,657677.4175772625,2025-11-30,Zillow ZHVI (City)
Hollywood,FL,159073,2024,2025-12-22,Wikipedia – List of United States cities by population,437863.1289167999,2025-11-30,Zillow ZHVI (City)
Hayward,CA,158440,2024,2025-12-22,Wikipedia – List of United States cities by population,824487.7187224027,2025-11-30,Zillow ZHVI (City)
Charleston,SC,157665,2024,2025-12-22,Wikipedia – List of United States cities by population,575754.9503269388,2025-11-30,Zillow ZHVI (City)
Macon,GA,157056,2024,2025-12-22,Wikipedia – List of United States cities by population,166561.035525153,2025-11-30,Zillow ZHVI (City)
Lakewood,CO,156868,2024,2025-12-22,Wikipedia – List of United States cities by population,555756.1533375238,2025-11-30,Zillow ZHVI (City)
Sunnyvale,CA,156792,2024,2025-12-22,Wikipedia – List of United States cities by population,2000319.24716143,2025-11-30,Zillow ZHVI (City)
Kansas City,KS,156752,2024,2025-12-22,Wikipedia – List of United States cities by population,194338.12958134717,2025-11-30,Zillow ZHVI (City)
Springfield,MA,154888,2024,2025-12-22,Wikipedia – List of United States cities by population,287963.3623687832,2025-11-30,Zillow ZHVI (City)
Bellevue,WA,154377,2024,2025-12-22,Wikipedia – List of United States cities by population,1446855.280563446,2025-11-30,Zillow ZHVI (City)
Naperville,IL,153124,2024,2025-12-22,Wikipedia – List of United States cities by population,584030.9011354981,2025-11-30,Zillow ZHVI (City)
Joliet,IL,151837,2024,2025-12-22,Wikipedia – List of United States cities by population,257180.005675199,2025-11-30,Zillow ZHVI (City)
Bridgeport,CT,151599,2024,2025-12-22,Wikipedia – List of United States cities by population,344682.1860998873,2025-11-30,Zillow ZHVI (City)
Mesquite,TX,150140,2024,2025-12-22,Wikipedia – List of United States cities by population,256462.42162478197,2025-11-30,Zillow ZHVI (City)
Pasadena,TX,149617,2024,2025-12-22,Wikipedia – List of United States cities by population,214880.24493983175,2025-11-30,Zillow ZHVI (City)
Olathe,KS,149035,2024,2025-12-22,Wikipedia – List of United States cities by population,413273.8405832173,2025-11-30,Zillow ZHVI (City)
Escondido,CA,148847,2024,2025-12-22,Wikipedia – List of United States cities by population,815795.5157328743,2025-11-30,Zillow ZHVI (City)
Savannah,GA,148808,2024,2025-12-22,Wikipedia – List of United States cities by population,324459.15169927554,2025-11-30,Zillow ZHVI (City)
McAllen,TX,148782,2024,2025-12-22,Wikipedia – List of United States cities by population,224115.3465589411,2025-11-30,Zillow ZHVI (City)
Gainesville,FL,148720,2024,2025-12-22,Wikipedia – List of United States cities by population,291411.26752796344,2025-11-30,Zillow ZHVI (City)
Pomona,CA,147966,2024,2025-12-22,Wikipedia – List of United States cities by population,675350.9835254439,2025-11-30,Zillow ZHVI (City)
Rockford,IL,147486,2024,2025-12-22,Wikipedia – List of United States cities by population,170161.72976306625,2025-11-30,Zillow ZHVI (City)
Thornton,CO,146689,2024,2025-12-22,Wikipedia – List of United States cities by population,491858.3604922484,2025-11-30,Zillow ZHVI (City)
Waco,TX,146608,2024,2025-12-22,Wikipedia – List of United States cities by population,190581.02995539783,2025-11-30,Zillow ZHVI (City)
Visalia,CA,146271,2024,2025-12-22,Wikipedia – List of United States cities by population,390176.0667063154,2025-11-30,Zillow ZHVI (City)
Syracuse,NY,146097,2024,2025-12-22,Wikipedia – List of United States cities by population,206515.61740562096,2025-11-30,Zillow ZHVI (City)
Columbia,SC,144788,2024,2025-12-22,Wikipedia – List of United States cities by population,224599.84683963496,2025-11-30,Zillow ZHVI (City)
Midland,TX,143687,2024,2025-12-22,Wikipedia – List of United States cities by population,323108.4703132152,2025-11-30,Zillow ZHVI (City)
Miramar,FL,143242,2024,2025-12-22,Wikipedia – List of United States cities by population,514354.2783644409,2025-11-30,Zillow ZHVI (City)
Palm Bay,FL,142023,2024,2025-12-22,Wikipedia – List of United States cities by population,300387.41975081846,2025-11-30,Zillow ZHVI (City)
Lakewood,NJ,141985,2024,2025-12-22,Wikipedia – List of United States cities by population,560615.3510081056,2025-11-30,Zillow ZHVI (City)
Jackson,MS,141449,2024,2025-12-22,Wikipedia – List of United States cities by population,81322.86193082952,2025-11-30,Zillow ZHVI (City)
Coral Springs,FL,140808,2024,2025-12-22,Wikipedia – List of United States cities by population,514872.5489004704,2025-11-30,Zillow ZHVI (City)
Victorville,CA,140721,2024,2025-12-22,Wikipedia – List of United States cities by population,431195.7072264243,2025-11-30,Zillow ZHVI (City)
Elizabeth,NJ,140413,2024,2025-12-22,Wikipedia – List of United States cities by population,530314.7798816497,2025-11-30,Zillow ZHVI (City)
Fullerton,CA,140054,2024,2025-12-22,Wikipedia – List of United States cities by population,1004053.0081985412,2025-11-30,Zillow ZHVI (City)
Meridian,ID,139740,2024,2025-12-22,Wikipedia – List of United States cities by population,522920.0677145017,2025-11-30,Zillow ZHVI (City)
Torrance,CA,139576,2024,2025-12-22,Wikipedia – List of United States cities by population,1146363.352336443,2025-11-30,Zillow ZHVI (City)
Stamford,CT,139134,2024,2025-12-22,Wikipedia – List of United States cities by population,668683.8223253936,2025-11-30,Zillow ZHVI (City)
West Valley City,UT,138144,2024,2025-12-22,Wikipedia – List of United States cities by population,459836.046304333,2025-11-30,Zillow ZHVI (City)
Orange,CA,137941,2024,2025-12-22,Wikipedia – List of United States cities by population,1086358.2596142986,2025-11-30,Zillow ZHVI (City)
Cedar Rapids,IA,137904,2024,2025-12-22,Wikipedia – List of United States cities by population,202653.87575080455,2025-11-30,Zillow ZHVI (City)
Warren,MI,137686,2024,2025-12-22,Wikipedia – List of United States cities by population,194932.18603808587,2025-11-30,Zillow ZHVI (City)
Hampton,VA,137596,2024,2025-12-22,Wikipedia – List of United States cities by population,269181.7915157187,2025-11-30,Zillow ZHVI (City)
